,index,EVENT_ID_NO_CNTY,Date,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
0,0,32164,1/15/1997,1997,3,Strategic development,SPLA/M: Sudanese People's Liberation Army/Movement,,2,,,0,20,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,The Guardian,"SPLA allowed to set up bases and move unhindered through Ethiopian territory; rebels continue to insist that Ethiopian government not involved in the fighting, however.",0
1,1,32165,2/10/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),Civilians (International),7,37,Ethiopia,Harari People,Hareri,Harar,Harar,9.3167,42.1167,1,Reuters,Grenade attack by unknown attackers wounds foreign tourists and Ethiopians,2
2,2,32166,2/15/1997,1997,3,Headquarters or base established,SPLA/M: Sudanese People's Liberation Army/Movement,,2,,,0,20,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,All Africa,SPLA maintain office and base in Gambella,0
3,3,32167,3/21/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Protesters (Ethiopia),,6,16,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Students stage demonstration; security forces use violence and illegal detention towards the protesters,0
4,4,32168,3/30/1997,1997,1,Riots/Protests,Protesters (Ethiopia),,6,,,0,60,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Opposition groups stage protest over land redistribution in Amhara regional state,0
5,5,32169,4/12/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,"Explosion at Tigray hotel leaves one dead, many injured",1
6,6,32170,4/12/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (International),Civilians (Ethiopia),7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Grenade attack at expensive Italian restaurant,0
7,7,32171,4/14/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,Reuters,Grenade attack wounds civilians in supermarket,0
8,8,32172,4/26/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Dire Dawa,9.5833,41.8667,1,Reuters,Bomb attack in bar leaves 11 injured; unknown perpetrators,0
9,9,32173,5/8/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,Reuters,Police kill civilian and claim he was involved in violent underground group; human rights groups claim he was innocent,1
10,10,32174,5/15/1997,1997,1,Violence against civilians,Christian Militia (Ethiopia),,4,Civilians (Ethiopia),,7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Gamo Gofa,Arba Minch Zuria,Arba Minch,6.03333,37.55,1,Reuters,A number of evangelical Christians killed by Orthodox Christians,0
11,11,32175,6/12/1997,1997,1,Battle-Government regains territory,Military Forces of Ethiopia (1991-),SNF: Somali National Front,1,AIAI: Al-Itihad Al-Islamia,,2,12,Ethiopia,Oromia,Misraq Harerge,Kersa,Bulo Hawo,9.3667,41.7833,1,BBC Monitoring,"Ethiopian military attacks Somali districts, takes them over from Somali National Front",0
12,12,32176,6/12/1997,1997,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Somalia),,7,17,Ethiopia,Oromia,Misraq Harerge,Kersa,Bulo Hawo,9.3667,41.7833,1,BBC Monitoring,"Ethiopian military attacks Somali districts, takes them over; Somali National Front alleges that the Ethiopian troops attacked and killed women and children",16
13,13,32177,6/30/1997,1997,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),,4,Geleb Ethnic Militia (Ethiopia),Merrile Ethnic Militia (Kenya),4,44,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.46667,1,Reuters News,24 Kenyan tribesmen were killed in a revenge attack on an Ethiopian tribe.,24
14,14,32178,6/30/1997,1997,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),,4,Merrile Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Borena,Moyale,Moyale,3.56917,39.08333,2,Reuters,"Merille launch counter-attack, kill Kenyan Turkana raiders",24
15,15,32179,6/30/1997,1997,1,Violence against civilians,Turkana Ethnic Militia (Kenya),,4,Civilians (Ethiopia),Merrile Ethnic Group (Ethiopia),7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,2,Reuters,"Turkana raiders attack Merrile camp, kill women and children",0
16,16,32180,7/15/1997,1997,3,Battle-No change of territory,Police Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Shewa,Toke Kutaye,Jeldu,9.0167,37.6667,1,BBC Monitoring,OLF attacks village and kills police officers,2
17,17,32181,8/7/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Harari People,Hareri,Harar,Harar,9.3167,42.1167,1,BBC Monitoring,Bomb attack by unknown persons,0
18,18,32182,9/19/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,1,Reuters,Gunmen kill two UN World Food Programme workers,2
19,19,32183,9/26/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Grenade attack by unknown person,1
