GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
530,1ETH,32164,15/01/1997,1997,3,Strategic development,SPLA/M: Sudanese People's Liberation Army/Movement,,2,,,0,20,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,1,The Guardian,"SPLA allowed to set up bases and move unhindered through Ethiopian territory; rebels continue to insist that Ethiopian government not involved in the fighting, however.",0
530,2ETH,32165,10/02/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),Civilians (International),7,37,Ethiopia,Harari People,Hareri,Harar,Harar,9.31670,42.11670,1,Reuters,Grenade attack by unknown attackers wounds foreign tourists and Ethiopians,2
530,3ETH,32166,15/02/1997,1997,3,Headquarters or base established,SPLA/M: Sudanese People's Liberation Army/Movement,,2,,,0,20,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,1,All Africa,SPLA maintain office and base in Gambella,0
530,5ETH,32167,21/03/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Protesters (Ethiopia),,6,16,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,BBC Monitoring,Students stage demonstration; security forces use violence and illegal detention towards the protesters,0
530,6ETH,32168,30/03/1997,1997,1,Riots/Protests,Protesters (Ethiopia),,6,,,0,60,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,BBC Monitoring,Opposition groups stage protest over land redistribution in Amhara regional state,0
530,7ETH,32169,12/04/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,BBC Monitoring,"Explosion at Tigray hotel leaves one dead, many injured",1
530,8ETH,32170,12/04/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (International),Civilians (Ethiopia),7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,BBC Monitoring,Grenade attack at expensive Italian restaurant,0
530,9ETH,32171,14/04/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,Reuters,Grenade attack wounds civilians in supermarket,0
530,11ETH,32172,26/04/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Dire Dawa,9.58330,41.86670,1,Reuters,Bomb attack in bar leaves 11 injured; unknown perpetrators,0
530,12ETH,32173,08/05/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,Reuters,Police kill civilian and claim he was involved in violent underground group; human rights groups claim he was innocent,1
530,13ETH,32174,15/05/1997,1997,1,Violence against civilians,Christian Militia (Ethiopia),,4,Civilians (Ethiopia),,7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Gamo Gofa,Arba Minch Zuria,Arba Minch,6.03333,37.55000,1,Reuters,A number of evangelical Christians killed by Orthodox Christians,0
530,15ETH,32175,12/06/1997,1997,1,Battle-Government regains territory,Military Forces of Ethiopia (1991-),SNF: Somali National Front,1,AIAI: Al-Itihad Al-Islamia,,2,12,Ethiopia,Oromia,Misraq Harerge,Kersa,Bulo Hawo,9.36670,41.78330,1,BBC Monitoring,"Ethiopian military attacks Somali districts, takes them over from Somali National Front",0
530,16ETH,32176,12/06/1997,1997,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Somalia),,7,17,Ethiopia,Oromia,Misraq Harerge,Kersa,Bulo Hawo,9.36670,41.78330,1,BBC Monitoring,"Ethiopian military attacks Somali districts, takes them over; Somali National Front alleges that the Ethiopian troops attacked and killed women and children",16
530,18ETH,32177,30/06/1997,1997,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),,4,Geleb Ethnic Militia (Ethiopia),Merrile Ethnic Militia (Kenya),4,44,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05000,38.46667,1,Reuters News,24 Kenyan tribesmen were killed in a revenge attack on an Ethiopian tribe.,24
530,20ETH,32178,30/06/1997,1997,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),,4,Merrile Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Borena,Moyale,Moyale,3.56917,39.08333,2,Reuters,"Merille launch counter-attack, kill Kenyan Turkana raiders",24
530,19ETH,32179,30/06/1997,1997,1,Violence against civilians,Turkana Ethnic Militia (Kenya),,4,Civilians (Ethiopia),Merrile Ethnic Group (Ethiopia),7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05000,38.46670,2,Reuters,"Turkana raiders attack Merrile camp, kill women and children",0
530,22ETH,32180,15/07/1997,1997,3,Battle-No change of territory,Police Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Shewa,Toke Kutaye,Jeldu,9.01670,37.66670,1,BBC Monitoring,OLF attacks village and kills police officers,2
530,23ETH,32181,07/08/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Harari People,Hareri,Harar,Harar,9.31670,42.11670,1,BBC Monitoring,Bomb attack by unknown persons,0
530,26ETH,32182,19/09/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,1,Reuters,Gunmen kill two UN World Food Programme workers,2
530,27ETH,32183,26/09/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,BBC Monitoring,Grenade attack by unknown person,1
530,28ETH,32184,08/10/1997,1997,1,Battle-No change of territory,Police Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,BBC Monitoring,Police claim they have killed OLF rebels in shoot-out; human rights groups claim the men were unarmed and killed by the police. This is coded as two distinct codes because the claims from either side could not be verified,3
530,29ETH,32185,08/10/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),Oromo Ethnic Group (Ethiopia),7,17,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.70000,1,BBC Monitoring,Police claim they have killed OLF rebels in shoot-out; human rights groups claim the men were unarmed and killed by the police. This is coded as two distinct codes because the claims from either side could not be verified,3
530,35ETH,32186,24/02/1998,1998,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Oromia,Mirab Shewa,Ambo Zuria,Ambo,8.98330,37.85000,1,BBC Monitoring,Grenade attack by unknown person or group,1
530,38ETH,32187,15/04/1998,1998,3,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Gashamo,Somali,8.00000,45.00000,2,BBC Monitoring,"ONLF battles Ethiopian forces, claims major victories",0
530,40ETH,32188,15/04/1998,1998,3,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Oromia,North Shewa,Wuchale,Weji,9.51667,38.78333,1,BBC Monitoring,"ONLF battles Ethiopian forces, claims major victories",0
