City,Lat,Long
Addis Ababa,9.0249701,38.746891
Dire Dawa,9.5930595,41.8661118
Mek'ele,13.4966698,39.4752808
Nazrēt,8.5500002,39.2666702
Bahir Dar,11.5936403,37.39077
Gondar,12.6000004,37.466671
Desē,11.1333303,39.6333313
Hawassa,7.0620499,38.4763489
Jimma,7.67344,36.8344116
Bishoftu,8.7522497,38.9784584
Kombolcha,11.0815496,39.7433891
Harar,9.3138704,42.1181488
Sodo,6.8600001,37.7615891
Shashemenē,7.1999998,38.5999985
Hosa’ina,7.5497799,37.8537407
Arba Minch,6.03333,37.5499992
Ādīgrat,14.2770004,39.4620018
Debre Mark’os,10.3500004,37.7333298
Debre Birhan,9.6795397,39.5326195
Jijiga,9.3500004,42.7999992
Inda Silasē,14.1030703,38.2828903
